"variables" "activity" "subject" "average"
"fBodyAccJerkmeanFreqXaxis" "STANDING" 30 0.0608341046813559
"fBodyAccJerkmeanFreqXaxis" "WALKING" 1 -0.209261973376842
"fBodyAccJerkmeanFreqXaxis" "WALKING" 2 -0.0727101584479661
"fBodyAccJerkmeanFreqXaxis" "WALKING" 3 -0.216042668103448
"fBodyAccJerkmeanFreqXaxis" "WALKING" 4 -0.1352803947515
"fBodyAccJerkmeanFreqXaxis" "WALKING" 5 -0.359372577678571
"fBodyAccJerkmeanFreqXaxis" "WALKING" 6 -0.178295181261404
"fBodyAccJerkmeanFreqXaxis" "WALKING" 7 -0.284586506210526
"fBodyAccJerkmeanFreqXaxis" "WALKING" 8 -0.345898115416667
"fBodyAccJerkmeanFreqXaxis" "WALKING" 9 -0.378291493076923
"fBodyAccJerkmeanFreqXaxis" "WALKING" 10 -0.260130638807547
"fBodyAccJerkmeanFreqXaxis" "WALKING" 11 -0.353419932627119
"fBodyAccJerkmeanFreqXaxis" "WALKING" 12 -0.2811065665
"fBodyAccJerkmeanFreqXaxis" "WALKING" 13 -0.190905932631579
"fBodyAccJerkmeanFreqXaxis" "WALKING" 14 -0.255900962474576
"fBodyAccJerkmeanFreqXaxis" "WALKING" 15 -0.292088318740741
"fBodyAccJerkmeanFreqXaxis" "WALKING" 16 -0.330912145882353
"fBodyAccJerkmeanFreqXaxis" "WALKING" 17 -0.43680842295082
"fBodyAccJerkmeanFreqXaxis" "WALKING" 18 -0.34877438
"fBodyAccJerkmeanFreqXaxis" "WALKING" 19 -0.214787048403846
"fBodyAccJerkmeanFreqXaxis" "WALKING" 20 -0.257051149084314
"fBodyAccJerkmeanFreqXaxis" "WALKING" 21 -0.195103003780769
"fBodyAccJerkmeanFreqXaxis" "WALKING" 22 -0.102095050734783
"fBodyAccJerkmeanFreqXaxis" "WALKING" 23 -0.269875748525424
"fBodyAccJerkmeanFreqXaxis" "WALKING" 24 -0.253177488803448
"fBodyAccJerkmeanFreqXaxis" "WALKING" 25 -0.223500510481081
"fBodyAccJerkmeanFreqXaxis" "WALKING" 26 -0.254935528889831
"fBodyAccJerkmeanFreqXaxis" "WALKING" 27 -0.268722350470175
"fBodyAccJerkmeanFreqXaxis" "WALKING" 28 -0.353217731666667
"fBodyAccJerkmeanFreqXaxis" "WALKING" 29 -0.201300454630189
"fBodyAccJerkmeanFreqXaxis" "WALKING" 30 -0.268877781692308
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 1 -0.253164344918367
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 2 -0.143898149531915
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 3 -0.229599432510204
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 4 -0.179115175957778
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 5 -0.350911621829787
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 6 -0.315757694854167
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 7 -0.333627288978723
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 8 -0.170997897197368
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 9 -0.43402213
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 10 -0.236779781631579
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 11 -0.338849974521739
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 12 -0.212787743043478
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 13 -0.346608657340426
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 14 -0.2710115324
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 15 -0.377130942619048
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 16 -0.368978400468085
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 17 -0.508557029565217
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 18 -0.334193776218182
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 19 -0.240575873128205
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 20 -0.450948560266667
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 21 -0.288856976111111
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 22 -0.244503497722222
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 23 -0.210126610722222
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 24 -0.398144618
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 25 -0.419732508103448
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 26 -0.5212878612
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 27 -0.331351997727273
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 28 -0.276941823673913
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 29 -0.270161022958333
"fBodyAccJerkmeanFreqXaxis" "WALKING_DOWNSTAIRS" 30 -0.307116650137097
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 1 -0.377023128301887
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 2 -0.0491142923541667
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 3 -0.325151127440678
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 4 -0.379653611346154
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 5 -0.397835581489362
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 6 -0.441959115607843
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 7 -0.391182549629412
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 8 -0.115989564712683
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 9 -0.427211088244898
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 10 -0.230337514021277
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 11 -0.446992354759259
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 12 -0.331247540442308
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 13 -0.323344232581818
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 14 -0.263935056981481
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 15 -0.439499582708333
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 16 -0.332237727509804
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 17 -0.576044001875
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 18 -0.442089377068966
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 19 -0.273942744225
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 20 -0.475001504117647
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 21 -0.267817083638298
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 22 0.0466071941261905
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 23 -0.278707884980392
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 24 -0.392831269898305
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 25 -0.410294109653846
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 26 -0.222513914852727
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 27 -0.361648357411765
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 28 -0.232074537770588
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 29 -0.379789331795918
"fBodyAccJerkmeanFreqXaxis" "WALKING_UPSTAIRS" 30 -0.4436963292
"fBodyAccJerkmeanFreqYaxis" "LAYING" 1 0.024513618956
"fBodyAccJerkmeanFreqYaxis" "LAYING" 2 0.1212064240125
"fBodyAccJerkmeanFreqYaxis" "LAYING" 3 -0.0131774961758065
"fBodyAccJerkmeanFreqYaxis" "LAYING" 4 0.0987428836296296
"fBodyAccJerkmeanFreqYaxis" "LAYING" 5 0.195677336307692
"fBodyAccJerkmeanFreqYaxis" "LAYING" 6 -0.0222029460298246
"fBodyAccJerkmeanFreqYaxis" "LAYING" 7 -0.0451342616019231
"fBodyAccJerkmeanFreqYaxis" "LAYING" 8 0.00667286421111111
"fBodyAccJerkmeanFreqYaxis" "LAYING" 9 -0.227093669698
"fBodyAccJerkmeanFreqYaxis" "LAYING" 10 0.0425942300482759
"fBodyAccJerkmeanFreqYaxis" "LAYING" 11 0.00344999603508772
"fBodyAccJerkmeanFreqYaxis" "LAYING" 12 -0.017661749435
"fBodyAccJerkmeanFreqYaxis" "LAYING" 13 0.0656536996983871
"fBodyAccJerkmeanFreqYaxis" "LAYING" 14 -0.231153333607843
"fBodyAccJerkmeanFreqYaxis" "LAYING" 15 0.0141056829361111
"fBodyAccJerkmeanFreqYaxis" "LAYING" 16 -0.0185799188572857
"fBodyAccJerkmeanFreqYaxis" "LAYING" 17 0.0279305879725352
"fBodyAccJerkmeanFreqYaxis" "LAYING" 18 0.0551692814758462
"fBodyAccJerkmeanFreqYaxis" "LAYING" 19 0.0838227031284337
"fBodyAccJerkmeanFreqYaxis" "LAYING" 20 0.0212201874367647
"fBodyAccJerkmeanFreqYaxis" "LAYING" 21 -0.0257551308055556
"fBodyAccJerkmeanFreqYaxis" "LAYING" 22 -0.12196479475
"fBodyAccJerkmeanFreqYaxis" "LAYING" 23 0.0982745766404167
"fBodyAccJerkmeanFreqYaxis" "LAYING" 24 0.0753041126791667
"fBodyAccJerkmeanFreqYaxis" "LAYING" 25 -0.279813645884932
"fBodyAccJerkmeanFreqYaxis" "LAYING" 26 0.127044302263158
"fBodyAccJerkmeanFreqYaxis" "LAYING" 27 0.0629930660081081
"fBodyAccJerkmeanFreqYaxis" "LAYING" 28 0.0010860935176125
"fBodyAccJerkmeanFreqYaxis" "LAYING" 29 0.134734984846377
"fBodyAccJerkmeanFreqYaxis" "LAYING" 30 -0.141961208041714
"fBodyAccJerkmeanFreqYaxis" "SITTING" 1 0.0475437839595745
"fBodyAccJerkmeanFreqYaxis" "SITTING" 2 0.0262448647134783
"fBodyAccJerkmeanFreqYaxis" "SITTING" 3 -0.0959148729942308
"fBodyAccJerkmeanFreqYaxis" "SITTING" 4 -0.075289966262
"fBodyAccJerkmeanFreqYaxis" "SITTING" 5 -0.131861736040909
"fBodyAccJerkmeanFreqYaxis" "SITTING" 6 -0.150934459496364
"fBodyAccJerkmeanFreqYaxis" "SITTING" 7 -0.0815021323520833
"fBodyAccJerkmeanFreqYaxis" "SITTING" 8 0.0527157003152174
"fBodyAccJerkmeanFreqYaxis" "SITTING" 9 -0.27190085077
"fBodyAccJerkmeanFreqYaxis" "SITTING" 10 -0.0261859265331481
"fBodyAccJerkmeanFreqYaxis" "SITTING" 11 -0.0805058031716981
"fBodyAccJerkmeanFreqYaxis" "SITTING" 12 -0.098733235372549
"fBodyAccJerkmeanFreqYaxis" "SITTING" 13 -0.00193284292653061
"fBodyAccJerkmeanFreqYaxis" "SITTING" 14 -0.232143578944444
"fBodyAccJerkmeanFreqYaxis" "SITTING" 15 -6.7038305084726e-06
"fBodyAccJerkmeanFreqYaxis" "SITTING" 16 -0.027202812815942
"fBodyAccJerkmeanFreqYaxis" "SITTING" 17 0.0885338998796875
"fBodyAccJerkmeanFreqYaxis" "SITTING" 18 0.00687195409298246
"fBodyAccJerkmeanFreqYaxis" "SITTING" 19 -0.0925759101945205
"fBodyAccJerkmeanFreqYaxis" "SITTING" 20 -0.124408290681364
"fBodyAccJerkmeanFreqYaxis" "SITTING" 21 -0.0118456245047059
"fBodyAccJerkmeanFreqYaxis" "SITTING" 22 -0.0605385147354839
"fBodyAccJerkmeanFreqYaxis" "SITTING" 23 -0.0438597429455882
"fBodyAccJerkmeanFreqYaxis" "SITTING" 24 -0.0884463992352941
"fBodyAccJerkmeanFreqYaxis" "SITTING" 25 -0.0408130188664615
"fBodyAccJerkmeanFreqYaxis" "SITTING" 26 0.0466390168589744
"fBodyAccJerkmeanFreqYaxis" "SITTING" 27 -0.0105794955342857
"fBodyAccJerkmeanFreqYaxis" "SITTING" 28 -0.211341156344444
"fBodyAccJerkmeanFreqYaxis" "SITTING" 29 0.0277396724596667
"fBodyAccJerkmeanFreqYaxis" "SITTING" 30 -0.127783839180645
"fBodyAccJerkmeanFreqYaxis" "STANDING" 1 0.0391618954943396
"fBodyAccJerkmeanFreqYaxis" "STANDING" 2 -0.0569368291814815
"fBodyAccJerkmeanFreqYaxis" "STANDING" 3 -0.258164810172131
"fBodyAccJerkmeanFreqYaxis" "STANDING" 4 -0.126450632983929
"fBodyAccJerkmeanFreqYaxis" "STANDING" 5 -0.143681804520893
"fBodyAccJerkmeanFreqYaxis" "STANDING" 6 -0.251013912454386
"fBodyAccJerkmeanFreqYaxis" "STANDING" 7 -0.188479735466038
"fBodyAccJerkmeanFreqYaxis" "STANDING" 8 -0.0598195579537037
"fBodyAccJerkmeanFreqYaxis" "STANDING" 9 -0.0981894026
"fBodyAccJerkmeanFreqYaxis" "STANDING" 10 -0.187095243409091
"fBodyAccJerkmeanFreqYaxis" "STANDING" 11 -0.0305094144893617
"fBodyAccJerkmeanFreqYaxis" "STANDING" 12 -0.174967084639344
"fBodyAccJerkmeanFreqYaxis" "STANDING" 13 -0.047896000245614
"fBodyAccJerkmeanFreqYaxis" "STANDING" 14 -0.212196767033333
"fBodyAccJerkmeanFreqYaxis" "STANDING" 15 -0.173615099864151
"fBodyAccJerkmeanFreqYaxis" "STANDING" 16 -0.0110757034462821
"fBodyAccJerkmeanFreqYaxis" "STANDING" 17 0.0739987319439744
"fBodyAccJerkmeanFreqYaxis" "STANDING" 18 -0.157432016482192
"fBodyAccJerkmeanFreqYaxis" "STANDING" 19 -0.11251381169863
"fBodyAccJerkmeanFreqYaxis" "STANDING" 20 -0.316121168630137
"fBodyAccJerkmeanFreqYaxis" "STANDING" 21 -0.11577347441236
"fBodyAccJerkmeanFreqYaxis" "STANDING" 22 -0.243211290984127
"fBodyAccJerkmeanFreqYaxis" "STANDING" 23 -0.0878295931260294
"fBodyAccJerkmeanFreqYaxis" "STANDING" 24 -0.131947804072174
"fBodyAccJerkmeanFreqYaxis" "STANDING" 25 -0.108166388858784
"fBodyAccJerkmeanFreqYaxis" "STANDING" 26 -0.0854585422074324
"fBodyAccJerkmeanFreqYaxis" "STANDING" 27 -0.03292309817125
"fBodyAccJerkmeanFreqYaxis" "STANDING" 28 -0.350627823255696
"fBodyAccJerkmeanFreqYaxis" "STANDING" 29 -0.0558737239646154
"fBodyAccJerkmeanFreqYaxis" "STANDING" 30 -0.265980374040678
"fBodyAccJerkmeanFreqYaxis" "WALKING" 1 -0.386237143210526
"fBodyAccJerkmeanFreqYaxis" "WALKING" 2 -0.263574018186441
"fBodyAccJerkmeanFreqYaxis" "WALKING" 3 -0.258667984862069
"fBodyAccJerkmeanFreqYaxis" "WALKING" 4 -0.385880862833333
"fBodyAccJerkmeanFreqYaxis" "WALKING" 5 -0.534049822678571
"fBodyAccJerkmeanFreqYaxis" "WALKING" 6 -0.466305754035088
"fBodyAccJerkmeanFreqYaxis" "WALKING" 7 -0.287013819157895
"fBodyAccJerkmeanFreqYaxis" "WALKING" 8 -0.4192779011875
"fBodyAccJerkmeanFreqYaxis" "WALKING" 9 -0.389047303846154
"fBodyAccJerkmeanFreqYaxis" "WALKING" 10 -0.148445687402075
"fBodyAccJerkmeanFreqYaxis" "WALKING" 11 -0.427889402576271
"fBodyAccJerkmeanFreqYaxis" "WALKING" 12 -0.22346071292
"fBodyAccJerkmeanFreqYaxis" "WALKING" 13 -0.447119510526316
"fBodyAccJerkmeanFreqYaxis" "WALKING" 14 -0.363463832288136
"fBodyAccJerkmeanFreqYaxis" "WALKING" 15 -0.330560047666667
"fBodyAccJerkmeanFreqYaxis" "WALKING" 16 -0.396511933696078
"fBodyAccJerkmeanFreqYaxis" "WALKING" 17 -0.40049341595082
"fBodyAccJerkmeanFreqYaxis" "WALKING" 18 -0.337293285178571
"fBodyAccJerkmeanFreqYaxis" "WALKING" 19 -0.388095890192308
"fBodyAccJerkmeanFreqYaxis" "WALKING" 20 -0.475080055294118
"fBodyAccJerkmeanFreqYaxis" "WALKING" 21 -0.364918893846154
"fBodyAccJerkmeanFreqYaxis" "WALKING" 22 -0.0787882256
"fBodyAccJerkmeanFreqYaxis" "WALKING" 23 -0.278843950576271
"fBodyAccJerkmeanFreqYaxis" "WALKING" 24 -0.439634005689655
"fBodyAccJerkmeanFreqYaxis" "WALKING" 25 -0.54613878577027
"fBodyAccJerkmeanFreqYaxis" "WALKING" 26 -0.408094837118644
"fBodyAccJerkmeanFreqYaxis" "WALKING" 27 -0.226365823631579
"fBodyAccJerkmeanFreqYaxis" "WALKING" 28 -0.492410732962963
"fBodyAccJerkmeanFreqYaxis" "WALKING" 29 -0.0699038849622642
"fBodyAccJerkmeanFreqYaxis" "WALKING" 30 -0.274838924907692
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 1 -0.33758970122449
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 2 -0.357514501744681
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 3 -0.356023306938775
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 4 -0.181293185048889
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 5 -0.470994737234043
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 6 -0.48434366125
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 7 -0.414196284085106
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 8 -0.337650965236842
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 9 -0.232042826333571
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 10 -0.297763023710526
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 11 -0.455972775869565
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 12 -0.386695904413043
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 13 -0.45664123893617
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 14 -0.306938978377778
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 15 -0.386323443795238
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 16 -0.417064208808511
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 17 -0.559085845869565
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 18 -0.430209134836364
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 19 -0.387547819487179
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 20 -0.4985269758
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 21 -0.431506656453333
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 22 -0.400892381111111
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 23 -0.181909200418519
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 24 -0.415305377727273
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 25 -0.544902332586207
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 26 -0.4566796268
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 27 -0.294651710159091
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 28 -0.393681484543478
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 29 -0.206525790529167
"fBodyAccJerkmeanFreqYaxis" "WALKING_DOWNSTAIRS" 30 -0.425051654887097
"fBodyAccJerkmeanFreqYaxis" "WALKING_UPSTAIRS" 1 -0.509495531698113
"fBodyAccJerkmeanFreqYaxis" "WALKING_UPSTAIRS" 2 -0.287688885375
"fBodyAccJerkmeanFreqYaxis" "WALKING_UPSTAIRS" 3 -0.453789820355932
"fBodyAccJerkmeanFreqYaxis" "WALKING_UPSTAIRS" 4 -0.39270192625
"fBodyAccJerkmeanFreqYaxis" "WALKING_UPSTAIRS" 5 -0.577009359574468
